2024-01-12 21:41:12,534 - INFO - [Restart 1] 672) Best value: -1.37e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 4/10
2024-01-12 21:41:13,026 - INFO - [Restart 1] 676) Best value: -1.37e-03 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:41:13,490 - INFO - [Restart 1] 680) Best value: -1.37e-03 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:41:13,954 - INFO - [Restart 1] 684) Best value: -1.14e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:41:14,465 - INFO - [Restart 1] 688) Best value: -1.14e-03 | TR length: 5.00e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:41:14,949 - INFO - [Restart 1] 692) Best value: -1.14e-03 | TR length: 5.00e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:41:15,408 - INFO - [Restart 1] 696) Best value: -1.14e-03 | TR length: 5.00e-02 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:41:15,857 - INFO - [Restart 1] 700) Best value: -1.14e-03 | TR length: 5.00e-02 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:41:16,356 - INFO - [Restart 1] 704) Best value: -1.14e-03 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:41:16,840 - INFO - [Restart 1] 708) Best value: -7.20e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:41:17,310 - INFO - [Restart 1] 712) Best value: -4.81e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:41:17,819 - INFO - [Restart 1] 716) Best value: -3.11e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:41:18,339 - INFO - [Restart 1] 720) Best value: -3.11e-04 | TR length: 2.50e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:41:18,856 - INFO - [Restart 1] 724) Best value: -3.11e-04 | TR length: 2.50e-02 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:41:19,361 - INFO - [Restart 1] 728) Best value: -3.00e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:41:19,869 - INFO - [Restart 1] 732) Best value: -3.00e-04 | TR length: 2.50e-02 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:41:20,415 - INFO - [Restart 1] 736) Best value: -2.86e-04 | TR length: 2.50e-02 | num. restarts: 0/5 | num. successes: 1/10
